TYPE
kern

GROUPS1
A;A
A.sc;a.sc
V;V
a;a
nKernRight;h;m;n

GROUPS2
A;A
A.sc;a.sc
V;V
a;a
n;n

VALUES
side1;side2;C4872ECA-A3A9-40AB-960A-1DB2202F16DE;3E7589AA-8194-470F-8E2F-13C1C581BE24;BFFFD157-90D3-4B85-B99D-9A2F366F03CA
@quoteright;@a;;-10;-20
@quoteright;@h;;;20
@r;@a;-20;-30;-10
@r;@g;-30;-25;-10
@r;@o;-20;-20;-5
@r;@quote;50;20;
@r;@quoteright;30;20;20
@r;@s;-10;-10;-10
@s;@T;-120;-110;
@s;@quoteright;0;0;
@s;@v;-10;-10;
@seven;@comma;-90;-80;-60
@seven;@four;-30;-40;-30
@seven;@one;30;20;20
@seven;@quote;20;20;20
@seven;@six;-20;;-20
@seven;@zero;-20;-20;
@seven;@three;;10;
@six;@nine;-20;;-20
@six;@quote;-20;-20;-20
@six;@seven;-20;;-20
@t;@a;-20;-10;-10
@t;@o;-20;;-5
@t;@quote;20;40;20
@t;@quoteright;30;30;30
@three;@seven;-20;-20;-30
@two;@four;-20;;
@two;@seven;-10;-20;-20
@v;@A;-20;-30;-50
@v;@T;-100;-70;-20
@v;@a;-20;-20;
@v;@g;-30;-40;-35
@v;@o;-20;-20;-30
@v;@s;-25;-20;-25
@v;@M;;-20;-40
@v;@quote;;20;
@w;@A;-20;-30;-40
@w;@T;-100;-70;-20
@w;@quote;;20;
@x;@o;-20;-30;-35
@y;@A;-10;-40;-60
@y;@T;-90;-60;
@y;@a;-15;-20;
@y;@comma;-50;-60;-40
@y;@g;-20;-30;-30
@y;@o;-10;-10;0
@y;@quote;;20;
@y;@M;;;-40
@z;@o;-10;-10;-10
@zero;@comma;-60;-30;-20
@zero;@quote;-20;-20;-20
@zero;@two;;;-10
@l;@quoteright;;-40;20

TYPE
vkrn

GROUPS1
ABottom;A
VBottom;V

GROUPS2
ATop;A
VTop;V

VALUES
side1;side2;C4872ECA-A3A9-40AB-960A-1DB2202F16DE;3E7589AA-8194-470F-8E2F-13C1C581BE24;BFFFD157-90D3-4B85-B99D-9A2F366F03CA
@ABottom;@VTop;-301;-302;-303
Adieresis;@VTop;-301;-302;-303
